,Category,Car Expenses,Education,Fast food,Fun,Gas,Groceries,Income,Medical,Mortgage,Neeny,Subscription,Utilities,Grand Total
Posted Date (YW),Description,Cost (Sum),,,,,,,,,,,,
,Kid S University Learning,,0,,,,,,,,,,,0
,Murphy USA,,,,,0,,,,,,,,0
,Netflix,,,,,,,,,,,0,,0
,Starbucks,,,,0,,,,,,,,,0
,State Farm,0,,,,,,,,,,,,0
,Venus Beauty S Harvey La PIN,,,,0,,,,,,,,,0
,Walmart,,,,,,0,,,,,,,0
,YouTube Premium,,,,,,,,,,,0,,0
2024-W15 Total,,0,0,0,0,0,0,0,,,,0,,0
,ATM Withdrawal,,,,0,,,,,,,,,0
,Baskin Robbins,,,,0,,,,,,,,,0
,Budget Saver Marrero PIN,,,,,,0,,,,,,,0
,Cox New Orleans Comm,,,,,,,,,,,,0,0
,Dollar Tree,,,,0,,,,,,,,,0
,Entergy,,,,,,,,,,,,0,0
,Kid S University Learning,,0,,,,,,,,,,,0
,LEARNERS EDGE ITEACH SAINT PAUL MN,,0,,,,,,,,,,,0
,Murphy USA,,,,,0,,,,,,,,0
,Popeyes,,,0,,,,,,,,,,0
,Poydras Parking,,,,0,,,,,,,,,0
,Sdome & Skarena Vendin,,,,0,,,,,,,,,0
,Walmart,,,,,,0,,,,,,,0
2024-W16 Total,,,0,0,0,0,0,,,,,,0,0
,Amazon Prime Membership,,,,,,,,,,,0,,0
,Buspatrol Americ,,,,,,,0,,,,,,0
,Jefferson Parish Payroll Burdi,,,,,,,0,,,,,,0
,Kid S University Learning,,0,,,,,,,,,,,0
,MetLife Insurance,,,,,,,,0,,,,,0
,Murphy USA,,,,,0,,,,,,,,0
,Take Marrero PIN,0,,,,,,,,,,,,0
,Walgreens,0,,,,,,,,,,,,0
,Walmart,,,,,,0,,,,,,,0
2024-W17 Total,,0,0,,,0,0,0,0,,,0,,0
,AT&T,,,,,,,,,,,,0,0
2024-W18,ATM Withdrawal,,,$200.00,,,,,,,,,,$200.00
,Atmos Energy,,,,,,,,,,,,0,0
,Brothers Food Westwego PIN,,,,,0,,,,,,,,0
,Check Deposit (Mobile),,,,,,,0,,,0,,,0
,Discount Zone,,,,,0,,,,,,,,0
,Disney+,,,,,,,,,,,$18.99,,$18.99
,Dollar Tree,,,,$60.06,,,,,,,,,$60.06
,Kid S University Learning,,0,,,,,,,,,,,0
,Monthly Interest Paid,,,,,,,0,,,,,,0
,Murphy USA,,,,,$62.48,,,,,,,,$62.48
,Popeyes,,,0,,,,,,,,,,0
,Rouses Markets,,,0,,,,,,,,,,0
,Subway,,,0,,,,,,,,,,0
,Transfer to Venmo,,,,0,,,,,,,,,0
,United Wholesale Mortgage,,,,,,,,,"$3,834.80",,,,"$3,834.80"
,Walmart,,,,,,0,,,,,,,0
,Withdrawal from JPMorgan Chase Ext Trnsfr,,,,,,,,,,0,,,0
,Zelle,,,,,,,,,,0,,,0
2024-W18 Total,,,0,$200.00,$60.06,$62.48,0,0,,"$3,834.80",0,$18.99,0,"$4,176.33"
2024-W19,ADT Home Security,,,,,,,,,,,,$84.33,$84.33
,Brothers Food Avondale PIN,,,$16.51,,$10.00,,,,,,,,$26.51
,Buspatrol Americ,,,,,,,0,,,,,,0
,Dollar General,$15.48,,,,,,,,,,,,$15.48
,Dollar Tree,,,,$8.19,,,,,,,,,$8.19
,DSW,,,,$51.62,,,,,,,,,$51.62
,Kid S University Learning,,$200.00,,,,,,,,,,,$200.00
,Netflix,,,,,,,,,,,$16.92,,$16.92
,Snack T Swirl Crepe,,,,$26.48,,,,,,,,,$26.48
,State Farm,$296.63,,,,,,,,,,,,$296.63
,Walmart,,,,,,$285.01,,,,,,,$285.01
,YouTube Premium,,,,,,,,,,,$13.99,,$13.99
2024-W19 Total,,$312.11,$200.00,$16.51,$86.29,$10.00,$285.01,0,,,,$30.91,$84.33,"$1,025.16"
2024-W20,Converseus,,,,$79.72,,,,,,,,,$79.72
,Harbor Freight Tools,,,,$19.63,,,,,,,,,$19.63
,Jefferson Parish,,,,,,,0,,,,,,0
,Kid S University Learning,,$200.00,,,,,,,,,,,$200.00
,Murphy USA,,,,,$108.03,,,,,,,,$108.03
,The Notary Shoppe,,,,$41.42,,,,,,,,,$41.42
,Walmart,,,,,,$225.30,,,,,,,$225.30
2024-W20 Total,,,$200.00,,$140.77,$108.03,$225.30,0,,,,,,$674.10
Grand Total,,$312.11,$400.00,$216.51,$287.12,$180.51,$510.31,0,0,"$3,834.80",0,$49.90,$84.33,"$5,875.59"
